Time,Untitled,Untitled 1,Untitled 2,Untitled 3
7/1/2019 15:20:06.459,24.785475,26.136363,26.110956,26.694797
7/1/2019 15:20:11.083,24.776509,26.127118,26.109432,26.702649
7/1/2019 15:20:15.329,24.784869,26.127856,26.112874,26.694043
7/1/2019 15:20:20.909,24.787065,26.125446,26.116546,26.696649
7/1/2019 15:25:00.911,24.790721,26.111448,26.12261,26.701944
7/1/2019 15:30:01.818,24.806751,26.137494,26.124774,26.696371
7/1/2019 15:35:01.316,24.813177,26.14882,26.131003,26.706238
7/1/2019 15:40:01.160,24.827404,26.139772,26.142624,26.715499
7/1/2019 15:45:01.381,24.837337,26.135805,26.16072,26.720761
7/1/2019 15:50:01.083,24.850434,26.146247,26.169604,26.726727
7/1/2019 15:55:01.399,24.869202,26.159343,26.175226,26.741316
7/1/2019 16:00:01.540,24.874529,26.172178,26.182799,26.742135
7/1/2019 16:05:00.895,24.886692,26.1907,26.200846,26.758625
7/1/2019 16:10:01.273,24.904263,26.202813,26.211041,26.770787
7/1/2019 16:15:00.867,24.914475,26.221974,26.230957,26.786342
7/1/2019 16:20:01.991,24.928375,26.231645,26.244168,26.796587
7/1/2019 16:25:01.211,24.943258,26.253003,26.250151,26.811978
7/1/2019 16:30:01.451,24.959026,26.257363,26.26787,26.827189
7/1/2019 16:35:01.111,24.97227,26.270394,26.283622,26.844581
7/1/2019 16:40:01.427,24.984646,26.285507,26.295915,26.8563
7/1/2019 16:45:01.316,24.999529,26.288539,26.309913,26.866824
7/1/2019 16:50:01.426,25.009216,26.302636,26.324813,26.868381
7/1/2019 16:55:01.737,25.026181,26.312159,26.32601,26.882526
7/1/2019 17:00:01.253,25.037032,26.321256,26.342958,26.898
7/1/2019 17:05:01.008,25.047179,26.326813,26.357858,26.896705
7/1/2019 17:10:00.819,25.056833,26.339926,26.362759,26.913653
7/1/2019 17:15:01.334,25.070307,26.351351,26.374921,26.918276
7/1/2019 17:20:01.351,25.088878,26.357268,26.382855,26.928012
7/1/2019 17:25:00.960,25.099336,26.36407,26.396607,26.942043
7/1/2019 17:30:01.552,25.109842,26.374315,26.406606,26.949944
7/1/2019 17:35:00.974,25.121611,26.380101,26.417309,26.951501
7/1/2019 17:40:00.785,25.123447,26.396574,26.428881,26.968351
7/1/2019 17:45:00.867,25.137347,26.399098,26.427439,26.968318
7/1/2019 17:50:01.722,25.14987,26.404901,26.441076,26.976006
7/1/2019 17:55:02.003,25.16,26.40872,26.455271,26.986349
7/1/2019 18:00:01.007,25.16754,26.421014,26.467106,26.99738
7/1/2019 18:05:01.005,25.173785,26.439044,26.467483,27.006608
7/1/2019 18:10:01.385,25.183341,26.430471,26.47699,27.012853
7/1/2019 18:15:01.245,25.180735,26.423538,26.470548,27.009034
7/1/2019 18:20:00.990,25.180358,26.422407,26.463483,26.998101
7/1/2019 18:25:01.096,25.17426,26.420178,26.452829,26.998298
7/1/2019 18:30:01.771,25.175866,26.418784,26.446912,26.99061
7/1/2019 18:35:01.101,25.17449,26.420063,26.437651,26.984349
7/1/2019 18:40:00.941,25.171867,26.417653,26.432832,26.985709
7/1/2019 18:45:01.398,25.171424,26.409425,26.424161,26.984349
7/1/2019 18:50:00.956,25.170933,26.415752,26.411097,26.985759
7/1/2019 18:55:01.733,25.162442,26.41408,26.40259,26.985677
7/1/2019 19:00:02.473,25.162147,26.4149,26.398623,26.984759
7/1/2019 19:05:00.789,25.158426,26.412179,26.389264,26.976547
7/1/2019 19:10:01.067,25.156181,26.40736,26.380658,26.982415
7/1/2019 19:15:01.335,25.16354,26.410277,26.377691,26.98094
7/1/2019 19:20:01.258,25.160033,26.411507,26.359858,26.975104
7/1/2019 19:25:01.115,25.156574,26.407015,26.354875,26.972728
7/1/2019 19:30:01.533,25.159541,26.410851,26.352367,26.967991
7/1/2019 19:35:01.601,25.155886,26.403278,26.343007,26.978727
